RUNNER,AGE,GENDER,EVENT COUNT
264,N/A,N/A,1
265,N/A,N/A,1
266,N/A,N/A,2
267,N/A,N/A,1
268,N/A,N/A,1
269,N/A,N/A,0
270,N/A,N/A,4
271,N/A,N/A,0
272,N/A,N/A,0
273,N/A,N/A,0
274,N/A,N/A,2
275,N/A,N/A,2
276,N/A,N/A,1
277,N/A,N/A,0
278,N/A,N/A,0
279,N/A,N/A,0
280,N/A,N/A,2
281,N/A,N/A,0
282,N/A,N/A,3
283,N/A,N/A,0
284,N/A,N/A,2
285,N/A,N/A,1
286,N/A,N/A,5
287,N/A,N/A,0
288,N/A,N/A,1
289,N/A,N/A,1
290,N/A,N/A,1
291,N/A,N/A,5
292,N/A,N/A,0
293,N/A,N/A,1
294,N/A,N/A,1
295,N/A,N/A,1
296,N/A,N/A,3
297,N/A,N/A,0
298,N/A,N/A,0
299,N/A,N/A,2
300,N/A,N/A,0
301,N/A,N/A,1
302,N/A,N/A,4
303,N/A,N/A,0
304,N/A,N/A,1
305,N/A,N/A,1
306,N/A,N/A,0
307,N/A,N/A,2
308,N/A,N/A,0
309,N/A,N/A,0
310,N/A,N/A,2
311,N/A,N/A,0
312,N/A,N/A,1
313,N/A,N/A,0
314,N/A,N/A,0
315,N/A,N/A,21
316,N/A,N/A,1
317,N/A,N/A,4
318,N/A,N/A,0
319,N/A,N/A,4
320,N/A,N/A,0
321,N/A,N/A,4
322,N/A,N/A,13
323,N/A,N/A,9
324,N/A,N/A,0
325,N/A,N/A,0
326,N/A,N/A,0
327,N/A,N/A,2
328,N/A,N/A,3
329,N/A,N/A,1
330,N/A,N/A,0
331,N/A,N/A,25
332,N/A,N/A,22
333,N/A,N/A,2
334,N/A,N/A,2
335,N/A,N/A,5
336,N/A,N/A,2
337,N/A,N/A,2
338,N/A,N/A,0
339,N/A,N/A,0
340,N/A,N/A,1
341,N/A,N/A,1
342,N/A,N/A,3
343,N/A,N/A,4
344,N/A,N/A,5
345,N/A,N/A,7
346,N/A,N/A,0
347,N/A,N/A,4
348,N/A,N/A,2
349,N/A,N/A,5
350,N/A,N/A,3
351,N/A,N/A,0
352,N/A,N/A,1
353,N/A,N/A,5
354,N/A,N/A,1
355,N/A,N/A,3
356,N/A,N/A,0
357,N/A,N/A,3
358,N/A,N/A,2
359,N/A,N/A,7
360,N/A,N/A,0
361,N/A,N/A,0
362,N/A,N/A,0
363,N/A,N/A,2
364,N/A,N/A,5
365,N/A,N/A,0
366,N/A,N/A,0
367,N/A,N/A,2
368,N/A,N/A,1
369,N/A,N/A,0
370,N/A,N/A,1
371,N/A,N/A,1
372,N/A,N/A,2
373,N/A,N/A,0
374,N/A,N/A,0
375,N/A,N/A,5
376,N/A,N/A,1
377,N/A,N/A,1
378,N/A,N/A,1
379,N/A,N/A,7
380,N/A,N/A,0
381,N/A,N/A,0
382,N/A,N/A,0
383,N/A,N/A,3
384,N/A,N/A,57
385,N/A,N/A,3
386,N/A,N/A,0
387,N/A,N/A,18
388,N/A,N/A,2
389,N/A,N/A,1
390,N/A,N/A,0
391,N/A,N/A,0
392,N/A,N/A,0
393,N/A,N/A,0
394,N/A,N/A,9
395,N/A,N/A,0
396,N/A,N/A,0
397,N/A,N/A,0
398,N/A,N/A,2
399,N/A,N/A,0
400,N/A,N/A,0
401,N/A,N/A,1
402,N/A,N/A,0
403,N/A,N/A,0
404,N/A,N/A,3
405,N/A,N/A,3
406,N/A,N/A,0
407,N/A,N/A,1
408,N/A,N/A,1
