RUNNER,GENDER,AGE,RAN 2011,RAN 2012,RAN 2013,RAN 2014,RAN 2015,EVENT COUNT,AVG_DIST,RUN_RATIO,TIME_WEIGHT,TOTAL DISTANCE,PERFORMANCE,AVG SPEED
91,M,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.5993346886
2501,M,49,0,1,1,1,1,9,20.9755555556,1.0,2.0,208.78,4851.0450625,2.5330608404
5787,F,61,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.9102007035
7795,F,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.73071447062
5641,M,55,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,1.84016572176
4332,M,41,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.72286924299
5814,M,48,0,1,1,1,1,21,34.7993181818,0.52380952381,1.80952380952,377.7925,15274.7725313,2.03640068652
7700,M,28,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,3.11460767743
6066,F,62,0,0,1,1,1,4,23.5975,1.0,1.5,136.585,4551.0450625,2.2853470323
169,M,30,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.10417126462
3250,M,30,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,0.0
6830,M,37,0,1,0,1,0,2,42.195,1.0,2.0,84.39,3560.83605,2.45372869029
1649,F,51,0,0,1,0,1,1,42.195,1.0,2.0,84.39,3560.83605,3.02547703013
223,M,35,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.6178513247
2400,M,46,0,0,0,1,1,2,None,0.0,1.0,39.195,1783.418025,0.649520340174
1524,M,29,0,0,1,1,0,2,31.64625,1.0,1.5,63.2925,2225.52253125,3.48292709514
7489,M,46,0,1,1,1,0,7,26.8275,1.0,1.71428571429,187.7925,5340.77253125,3.16488283212
8654,M,41,0,1,1,1,1,6,28.065,0.5,2.0,102.2925,3110.52253125,1.9010027693
513,M,39,0,0,1,1,0,2,21.0975,0.5,1.5,20.0975,446.10450625,1.73910450027
3511,F,38,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,1.78815103615
6854,F,53,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.05138801108
626,M,40,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.35831656606
4,F,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.42555759945
7760,M,38,0,0,1,1,1,2,42.195,0.5,1.5,83.39,3561.83605,1.56065841538
7528,M,20,0,0,1,0,0,4,20.54875,1.0,2.0,82.195,2380.418025,2.54364665581
3482,F,34,0,1,1,1,0,4,42.195,0.75,1.75,125.585,5342.254075,2.16450781517
6415,F,43,0,0,0,1,1,1,None,0.0,1.0,88.395,2696.838025,1.31894885035
1145,M,49,0,1,1,1,0,7,18.8585,0.714285714286,1.85714285714,92.2925,2718.52253125,2.40281236164
319,M,44,0,1,1,0,1,4,34.7966666667,0.75,2.5,145.585,5742.254075,2.72208565191
2175,M,26,0,1,0,0,0,2,31.5975,1.0,3.0,63.195,2221.418025,3.96391758933
5097,M,66,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.33293838863
7857,M,44,0,1,1,1,0,5,31.621875,0.8,2.0,146.585,4893.0450625,1.93313715382
4339,F,25,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.48703288931
8305,F,25,0,1,1,1,1,8,22.5121428571,0.875,1.875,177.6825,4547.94055625,2.95870387233
8174,F,24,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,2.95756063294
6673,F,28,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.00947709306
885,M,39,0,1,1,1,0,4,24.8475,1.0,2.0,99.39,2895.6270375,2.65517205408
7306,M,31,0,1,0,0,0,2,42.195,0.5,3.0,41.195,1781.418025,1.40773181445
1368,M,50,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,2.68363975019
5649,M,46,0,1,0,0,0,3,23.5975,0.666666666667,3.0,46.195,1806.418025,1.79618734354
8560,M,50,0,1,1,1,0,5,35.1633333333,0.6,2.0,102.49,4009.04605,0.927932223813
